file,strategy,current_state,exit_code,total_states,time_seconds
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,1,0,7,0.6587200164794922
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,2,0,7,0.6866550445556641
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,3,0,7,0.7614030838012695
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,4,0,7,0.9220659732818604
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,5,0,7,1.229835033416748
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,6,0,7,1.7400851249694824
../LTL-Synth/amba_decomposed_tburst4.tlsf,linear,7,0,7,2.5558860301971436
../LTL-Synth/amba_decomposed_tburst4.tlsf,expo,1,0,8,0.6395280361175537
../LTL-Synth/amba_decomposed_tburst4.tlsf,expo,2,0,8,0.6668679714202881
../LTL-Synth/amba_decomposed_tburst4.tlsf,expo,4,0,8,0.7392559051513672
../LTL-Synth/amba_decomposed_tburst4.tlsf,expo,8,0,8,1.0513849258422852
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,1,0,7,0.6820080280303955
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,2,0,7,0.7081429958343506
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,4,0,7,0.7790729999542236
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,8,0,7,1.068655014038086
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,6,0,7,2.8406879901885986
../LTL-Synth/amba_decomposed_tburst4.tlsf,hybrid,7,0,7,3.6345181465148926
../LTL-Synth/amba_decomposed_tincr.tlsf,linear,1,0,4,0.65267014503479
../LTL-Synth/amba_decomposed_tincr.tlsf,linear,2,0,4,0.6814260482788086
../LTL-Synth/amba_decomposed_tincr.tlsf,linear,3,0,4,0.7724270820617676
../LTL-Synth/amba_decomposed_tincr.tlsf,linear,4,0,4,0.9975681304931641
../LTL-Synth/amba_decomposed_tincr.tlsf,expo,1,0,4,0.659369945526123
../LTL-Synth/amba_decomposed_tincr.tlsf,expo,2,0,4,0.6875579357147217
../LTL-Synth/amba_decomposed_tincr.tlsf,expo,4,0,4,0.7871718406677246
../LTL-Synth/amba_decomposed_tincr.tlsf,hybrid,1,0,4,0.6644830703735352
../LTL-Synth/amba_decomposed_tincr.tlsf,hybrid,2,0,4,0.6973729133605957
../LTL-Synth/amba_decomposed_tincr.tlsf,hybrid,4,0,4,0.792525053024292
../LTL-Synth/amba_decomposed_tincr.tlsf,hybrid,3,0,4,1.227843999862671
../LTL-Synth/amba_decomposed_tincr.tlsf,hybrid,4,0,4,1.456521987915039
../LTL-Synth/amba_decomposed_tsingle.tlsf,linear,1,0,4,0.603477954864502
../LTL-Synth/amba_decomposed_tsingle.tlsf,linear,2,0,4,0.6250410079956055
../LTL-Synth/amba_decomposed_tsingle.tlsf,linear,3,0,4,0.6876950263977051
../LTL-Synth/amba_decomposed_tsingle.tlsf,linear,4,0,4,0.8235821723937988
../LTL-Synth/amba_decomposed_tsingle.tlsf,expo,1,0,4,0.6133480072021484
../LTL-Synth/amba_decomposed_tsingle.tlsf,expo,2,0,4,0.6361730098724365
../LTL-Synth/amba_decomposed_tsingle.tlsf,expo,4,0,4,0.7015359401702881
../LTL-Synth/amba_decomposed_tsingle.tlsf,hybrid,1,0,4,0.6290850639343262
../LTL-Synth/amba_decomposed_tsingle.tlsf,hybrid,2,0,4,0.651076078414917
../LTL-Synth/amba_decomposed_tsingle.tlsf,hybrid,4,0,4,0.7130570411682129
../LTL-Synth/amba_decomposed_tsingle.tlsf,hybrid,3,0,4,0.9667181968688965
